name,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_std,SVM_MCC_std,SVM_AUC-ROC_std,SVM_F1_std,KNN_MCC_std,KNN_AUC-ROC_std,KNN_F1_std,Random_Forest_MCC_std,Random_Forest_AUC-ROC_std,Random_Forest_F1_std,XGBoost_MCC_std,XGBoost_AUC-ROC_std,XGBoost_F1_std
antimalarial_alternative,0.0670305303253565,0.0346223471423507,0.0570234835438179,0.0576010385660604,0.046305274272213,0.0641173060115332,0.0,0.0,0.004400846823628,0.0375800229644188,0.0325668508778516,0.0380686264487973,0.0571714526348787,0.0316492663638677,0.0490058153797421
antimalarial_main,0.0201967146863222,0.0146285971576829,0.0207101547789001,0.0478970399012365,0.0326229201647404,0.0595979184648198,0.0251775255297715,0.0236225781178746,0.0078091678040636,0.0287509684330637,0.0258155808959206,0.0379327890014577,0.0361539088916261,0.0288881043932872,0.0365231140565569
antimicrobial,0.0107123879864424,0.005302019626481,0.0049827619081243,0.0078692188908513,0.0035178620850202,0.0032872392346803,0.0199082156696214,0.0105681326355959,0.0074574251841512,0.0072446021591591,0.003563075699649,0.0039312133574508,0.008921546723451,0.0043219746768431,0.0036523493891752
antimicrobial_UniDL4BioPep,0.0100888976677562,0.0047981221156559,0.0046008931840928,0.0091489702891358,0.0044536228502854,0.0043875382109705,0.0,0.0,0.0001650802079082,0.0139252347529629,0.0069109258975103,0.0069095006261203,0.0117292698956465,0.005794148146431,0.0052869461601183
antioxidant,0.0213704693874499,0.0105052157789245,0.0095768498278289,0.0200289812855838,0.0104840145145721,0.0117163383458887,0.0136471643212259,0.0052947981888309,0.0034018534145962,0.0326393947192507,0.0163809012775333,0.0153210852845492,0.021114673047885,0.010484014514572,0.0103543689393695
antioxidant_UniDL4BioPep,0.0471180183232334,0.0235969390202587,0.0244587028000689,0.0349481050661894,0.0151665743905982,0.0144070370473885,0.0458247793043175,0.0215224558390433,0.0239100053343523,0.0907102568201967,0.0450661909389052,0.0440000688319249,0.0353527948064775,0.0172470365924896,0.014938989897399
antiparasitic,0.0195249702434978,0.0205774932205239,0.0225816080346607,0.0576555953515129,0.02841665383624,0.0548416259366463,0.0303944426401656,0.0093928164605443,0.004895932097514,0.0836777583715697,0.0401787541004794,0.0741250808211338,0.070743321226968,0.0369774556884267,0.0585611794766075
antiviral,0.0194850471499368,0.0097497175577127,0.0119712540402821,0.0208464434284874,0.0105351354958299,0.0135939236896892,0.0113857175896398,0.0058143079422511,0.0052647626786433,0.0371873135525853,0.0181980981466616,0.0206903808819076,0.01934094176732,0.0097483928316646,0.011066053144101
atb_antitbp,0.0525569469628564,0.0264099611412099,0.0267439454277085,0.0118973918612745,0.0044879402473154,0.0088936799729171,0.0793211426917612,0.0381728461181245,0.0524366647934479,0.053767527105196,0.0270763340094307,0.0294238634407954,0.0568997683310208,0.0285225237432287,0.0295702748191289
atb_iantitb,0.0566626573611758,0.0283522203099062,0.0442583593083387,0.0747187557569542,0.0361377806734631,0.0544149500240346,0.0579877353859781,0.0241966812515719,0.0332665383800415,0.0656914390543311,0.0327920511289369,0.0423910167515645,0.0592274763367766,0.0299869748206138,0.0292757710079347
avp_amppred,0.0438441389312371,0.0219053122985307,0.0222758621442044,0.0560789785610272,0.027036513342459,0.0268857586615426,0.0724354241214729,0.036831692652885,0.0271084680635664,0.0375407944412129,0.0198469248416634,0.0266522256315874,0.051881568187185,0.0268451135190332,0.0345999415506519
avp_avppred,0.0583077892300309,0.0282883891251458,0.0275620423346159,0.0812886599767492,0.0408970228792546,0.0340605962826923,0.0594795822144502,0.0286923650777071,0.0240473192378515,0.0525612407497494,0.0254484594623843,0.023898329119572,0.0315572528649477,0.0156680299466936,0.016564794272377
bce_ibce,0.0350487600448176,0.0175606626928589,0.0234189936829382,0.0433315828001979,0.0212858041472889,0.0358305954431638,0.0281572793796488,0.0140458113522043,0.014447609965896,0.0460045505672177,0.0231430215109105,0.0387546157957376,0.0468904733222349,0.0234043951314579,0.0322885445667915
bitter,0.0863938656617064,0.0432448515721813,0.049956570273196,0.0595364468965471,0.0306186217847897,0.0384038587729878,0.0714343312198017,0.0352862180957381,0.0300346617515489,0.0630978624897425,0.0302173118840839,0.0321099949680941,0.0643181317492472,0.0325510416499994,0.0361888131983695
blood_brain_barrier,0.1573553688108321,0.0784296857443987,0.0869610655360387,0.1290580216174639,0.0646650320699742,0.067969484929918,0.1152167619377665,0.0339759651015077,0.019766079902497,0.1138268533336516,0.0567668181653021,0.0678545530821229,0.1198529661363813,0.0596490603192993,0.0526127356342644
cpp_cellppd,0.0310041560180466,0.0155866538540352,0.0173644693609858,0.0494828257299104,0.0251217285182653,0.0281370619065807,0.0299038974758378,0.0167222437506268,0.011256914125085,0.0440932728677114,0.0219599249475529,0.0217009092120379,0.047888500634123,0.0238328396650001,0.0234743075258357
cpp_cellppdmod,0.0512865046423939,0.0257045875961539,0.0269945874327867,0.0357914842443983,0.0182174275124742,0.019312618952228,0.0411863391894125,0.0207280640235952,0.0208531752710362,0.0419781763850374,0.0211190934644532,0.0219706942569835,0.0364344059923721,0.0182775777683611,0.0195844982748523
cpp_cppredfl,0.0797162960294872,0.0399160178604464,0.0401041306404406,0.0459948989509818,0.0244043916617516,0.0215448443214829,0.1017800402075425,0.05099641088091,0.0557895208769818,0.0564862161437699,0.0281444681782433,0.0318871816580045,0.0519512981500887,0.0259326802968015,0.0232493163429839
cpp_kelmcpp,0.0257228005365684,0.0128789075388099,0.01329195369099,0.0226398463865775,0.011231615271849,0.0116660470895599,0.0545146332676935,0.028351991076135,0.0215829387008811,0.0482659618199338,0.0240021979551932,0.0224863336649591,0.0314212157787661,0.0158456214170596,0.0155483779349122
cpp_mlcpp,0.0586254366972707,0.0290054034460871,0.0359672067546986,0.0283129938081839,0.0197585278631775,0.0261206845924917,0.0639774011288583,0.0347754788369807,0.0234074234339424,0.0554386515533066,0.028742739886561,0.0376878413118283,0.0394412910117907,0.0208226409521679,0.0264439758259729
cpp_mlcppue,0.0955185413017709,0.0474441830870006,0.0341811678095416,0.0570026444526142,0.027693182900772,0.0279042001790271,0.1022011928614019,0.0517033013034687,0.0302247289517634,0.1034218332005895,0.051467559411915,0.0580863635140628,0.1516256619516585,0.0755883917860071,0.0491742054261878
cpp_sanders,0.0980724080162946,0.0338979338182276,0.0260658675323009,0.0,0.0,0.0087481146304675,0.0691107301547011,0.0203317330428643,0.0227403609574108,0.064570049703754,0.0232581073042288,0.0275339686497347,0.1633504135501632,0.0811718431397783,0.0339724837611117
hem_hemopi,0.0230083901618393,0.0113368299825031,0.0116503641808487,0.010706576407694,0.0049046664064744,0.0048861514104303,0.0240456596267766,0.0129355464049377,0.0112743853782091,0.0273048737239242,0.0133274458851483,0.0138777515152208,0.0098258018499225,0.0045900637484289,0.004763359037833
hiv_apv,0.0620909221026367,0.0332434004626984,0.0209407751611839,0.067935680087392,0.0369609578464897,0.0240159275367422,0.046077812748993,0.0261435660950588,0.0139348826691144,0.0744680524146039,0.0405135925078843,0.0277311531757208,0.0518776262410365,0.0282961108364535,0.0199204560288758
hiv_bevirimat,0.0904460423146069,0.060855317515001,0.0833745738749944,0.1141248784493293,0.0891935717974378,0.160257175800694,0.192060758579061,0.1005056415104191,0.1403919657442092,0.1064202678104724,0.0717567004663461,0.0989699844622665,0.1274752209359441,0.0596057862019496,0.096999189443971
hiv_idv,0.039882498097467,0.0203431765852587,0.0192482839508521,0.0425649297865565,0.0219847834526898,0.0201335042914672,0.0602499304929939,0.0294272800842792,0.0268944202307264,0.0200138067090266,0.0103690815109613,0.010815678209637,0.057860465052061,0.0291277194711882,0.0273882715442684
hiv_lpv,0.0279994043019794,0.0132767252072493,0.013696781092619,0.0348484200558103,0.0145161401471377,0.0162853054381123,0.0479903635951048,0.0290727966382555,0.0248249996130253,0.0266020559933361,0.0115193125454552,0.0134010836086057,0.023928586239244,0.0140790250232638,0.0156627942386595
hiv_nfv,0.0251939838276794,0.0169499052889696,0.0171513641887926,0.0197521590037645,0.0094758924328949,0.0111960239601286,0.0318391370722081,0.0172472271818751,0.0167517097977973,0.0451674000813977,0.025309746533056,0.0283112318880825,0.0459284356865372,0.0245086078569819,0.0290850746812464
hiv_protease,0.0408856759774041,0.0172915412842145,0.0280107927215515,0.0905640083267485,0.0483698088442785,0.1254777145157598,0.1090045377030532,0.0426545913403881,0.1099406823217027,0.108365127292344,0.0373467327744883,0.1023505778506438,0.0649542984619005,0.0386180419719077,0.0571942731191628
hiv_rtv,0.0587702581518445,0.0292763313842704,0.0296386585234342,0.0608869840547486,0.0306116082690505,0.0305673189820336,0.058721706364974,0.0294199442306211,0.0269034345899722,0.0765483452238929,0.0381173804413777,0.0389200737428184,0.0561789158615191,0.0281935082823338,0.0295984868109737
