name,Logistic_Regression_MCC_mean,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_mean,Logistic_Regression_F1_std,SVM_MCC_mean,SVM_MCC_std,SVM_AUC-ROC_mean,SVM_AUC-ROC_std,SVM_F1_mean,SVM_F1_std,KNN_MCC_mean,KNN_MCC_std,KNN_AUC-ROC_mean,KNN_AUC-ROC_std,KNN_F1_mean,KNN_F1_std,Random_Forest_MCC_mean,Random_Forest_MCC_std,Random_Forest_AUC-ROC_mean,Random_Forest_AUC-ROC_std,Random_Forest_F1_mean,Random_Forest_F1_std,XGBoost_MCC_mean,XGBoost_MCC_std,XGBoost_AUC-ROC_mean,XGBoost_AUC-ROC_std,XGBoost_F1_mean,XGBoost_F1_std
amp_antibp2,0.7004256527885261,0.0246536712310487,0.8499589868534592,0.012126918602972,0.8518978763657847,0.0136561863548775,0.7760825919445338,0.0224749427679104,0.8847610527384397,0.0118693816008829,0.8769592041457746,0.0141306415454396,0.48235581171261,0.0789931803327224,0.7348020912644028,0.0409472286671914,0.7577145885250276,0.0226456892490046,0.7874714156780269,0.0144577511110383,0.8927132379067052,0.007313892614428,0.8890906336285423,0.0077419144780482,0.7518418071132145,0.0182337344179588,0.8756125831176081,0.0093530799259196,0.8737602271973728,0.0105450252360982
amp_csamp,0.8656325519229442,0.043414752342977,0.9169871794871796,0.0226074030918239,0.9514840714840714,0.0143074837538114,0.7995502092689193,0.0795496084683336,0.8881153846153846,0.0420178807309184,0.928818191304318,0.0261510118873285,0.0,0.0,0.5,0.0,0.77103294715235,0.0072382303828512,0.79288562981805,0.0895721026968524,0.873403846153846,0.051167341256981,0.9271668682195,0.0283969549961896,0.8858647444660577,0.101416921839987,0.9432820512820512,0.0536591134871191,0.957414076741808,0.0370508791239152
amp_fernandes,0.4867566435624294,0.1484076567178579,0.7396739130434782,0.07194469888423,0.7425406656678304,0.0815153307262531,0.6152760583500699,0.1221437085068162,0.8047101449275363,0.0603279910044644,0.8078122400475343,0.0604842542815172,0.2893739637796786,0.0974465817099592,0.6244565217391304,0.0463838875942432,0.7016851743619715,0.0308935588590647,0.4727651459113895,0.1840725551553521,0.731159420289855,0.0913848276546924,0.7457222475553529,0.0811935020296808,0.3618091272779786,0.1420933801463692,0.6798913043478261,0.070115014882044,0.6871449275362319,0.0761059686391801
amp_gonzales,0.836331890077639,0.1610769848115777,0.891904761904762,0.1184901232046458,0.8414141414141415,0.1750012753754158,0.7869929946213994,0.1588419686530815,0.8552380952380952,0.122209440683976,0.7918181818181818,0.169744582065219,0.701138740564204,0.0940987771372537,0.8645238095238096,0.1023100529702507,0.7305128205128206,0.1186722512703149,0.8581577288026894,0.1738734573270927,0.8966666666666667,0.1222020185321557,0.8595959595959595,0.1854959131697331,0.7651203980802179,0.1672388795096262,0.8738095238095239,0.0898505940531318,0.8072727272727273,0.1392304706841938
amp_iamp2l,0.7198201625701972,0.0197103753472271,0.8615929003429003,0.0098109110254021,0.7945239542250253,0.0129061145596942,0.7497694828584932,0.0229983128493815,0.8746708156708156,0.0162352805739165,0.8158960995162566,0.0180051234114023,0.0406283474937067,0.0335873189989814,0.5094157734157734,0.0074534311607376,0.4238222046552521,0.0051101002018007,0.7249386053398624,0.027345861279795,0.8523227583227584,0.0204644076349188,0.7934513603618323,0.0229295476232744,0.7309291225089746,0.0191561212038571,0.8702287239787241,0.0086098330121024,0.8037580872119735,0.0126493832388499
amp_modlamp,0.8247281552939288,0.0095700552403358,0.9125361961102604,0.0049586121595706,0.9084510447964498,0.0054414853374008,0.8447440393535448,0.013965012376097,0.9227422022519544,0.0068971177574699,0.9198418825863875,0.0073104129382965,0.720691038339967,0.0203610302888469,0.860005327264157,0.0110702940094953,0.8582803581254652,0.0094425109900366,0.8230681685546848,0.0189504527848454,0.9116385660455244,0.0091374578283681,0.9087265124250172,0.0093947043456148,0.8334916038519996,0.0222306695974062,0.9171048690078736,0.0110231898974168,0.91393561441926,0.0114778779109014
anitinflamatory,0.3173656016403711,0.0095072928698385,0.6508406391635335,0.005026137161393,0.5481218480797536,0.0108253242883817,0.2539859014572532,0.0260395391746686,0.6075465566067171,0.0137159292340013,0.4448221708426562,0.0290294375458469,0.0808368883380533,0.0205478550807653,0.5413662761781012,0.010483732144195,0.4626578193185069,0.0147426922496799,0.2621521607794345,0.0214903092850363,0.6190733238656387,0.0115849047546766,0.4864654697077748,0.0226908529808318,0.2348798228282582,0.0277721453060558,0.6102650364389263,0.0142013753058801,0.4866903771882548,0.02642893499888
antibacterial,0.7781283383482247,0.0036307207532944,0.8890427922997214,0.0018125164889422,0.8889450300744294,0.0015478335984002,0.8284419108878363,0.0055279175486546,0.9127798940408948,0.0028787549583078,0.9090014772035636,0.003227856040303,0.5177893523155276,0.0098824028656846,0.7497580892333289,0.0045669282341182,0.7788037739026727,0.0044019531953158,0.8439135827747102,0.0038925781166452,0.9199080155289928,0.001839452877964,0.9157774344069431,0.0018874352544522,0.8186282343883201,0.0051701166866583,0.909156742122393,0.002603257796602,0.9079639543243652,0.0027077426019225
anticancer_alternative,0.7478642338428368,0.0234823911708906,0.8737113402061855,0.0116408142171507,0.87292723270285,0.0107304596397871,0.7634547939496922,0.0164667682318075,0.8773195876288661,0.0087172858377772,0.8672703612473175,0.0102635609016565,0.5067811282773802,0.0334355779845257,0.7510309278350515,0.0176014134834678,0.7644322738565773,0.0158723843542679,0.7785718351318237,0.0137144136926357,0.8881443298969073,0.0068384016295987,0.8838825899255823,0.0071701119560217,0.7585938498429812,0.0194430429059978,0.8783505154639176,0.0094204468466479,0.8742491459697304,0.0088841686649511
anticancer_main,0.4219199081920253,0.0511394950233293,0.7107911009544294,0.0255181837794598,0.7147205826258085,0.025628773871536,0.4759723468296584,0.0193296370207566,0.7375252050006721,0.0095924320745938,0.7293591079182062,0.0094505631688124,0.3662506906924929,0.0178090252289627,0.6730340099475736,0.0083050677375546,0.7152205489389628,0.0139464856639262,0.4875003680306514,0.0207314382170149,0.7427275171394006,0.0100158210183989,0.7319571536028098,0.0095516241572417,0.4774957779812602,0.0306722839871773,0.7386846350315903,0.0153737431836113,0.7383116050486729,0.0161913283070995
antidiabetic,0.268545155796653,0.0429757293534273,0.6332003546099292,0.0217776766978024,0.6267071820601606,0.0292476267033211,0.2470001237601357,0.0457986383016313,0.6224734042553192,0.0222372872517916,0.621137269535007,0.0337962218402687,0.1171114518237918,0.0413931504018576,0.5573138297872341,0.0205941071091552,0.5718449614104634,0.0501180418229169,0.2254280711735705,0.0896334729284172,0.611968085106383,0.0448377841079157,0.6163143969418242,0.0526095184201601,0.2885832882608728,0.0753092666079972,0.64375,0.0369978365578892,0.6489775931052946,0.0410730404638138
antifungal,0.8220070477441919,0.034761392720925,0.9108750824831228,0.0172718793245845,0.9108763287749128,0.0173472667433046,0.8525180979570702,0.0427972555214619,0.9244784528704126,0.0220812535031646,0.9208570653497642,0.0237660792455021,0.22885600685248,0.0673778579712585,0.6128597533120146,0.034151299320143,0.6266615244043638,0.0316528551947814,0.8380976067145992,0.0251707180599397,0.9189305111415664,0.0124633188171777,0.9192128423496944,0.0128367412200648,0.8201483513286589,0.0375328221076533,0.909867519415258,0.0188221287414998,0.9087336884965832,0.0192268784387196
antimalarial_alternative,0.7816326793675856,0.0670305303253565,0.8662659508247744,0.0346223471423507,0.8116569908079342,0.0570234835438179,0.7725864815227219,0.0576010385660604,0.8338204170557113,0.046305274272213,0.7872405764428932,0.0641173060115332,0.0,0.0,0.5,0.0,0.2896004408928079,0.004400846823628,0.8177794175334965,0.0375800229644188,0.8635294117647059,0.0325668508778516,0.8327661759203883,0.0380686264487973,0.7600348658047116,0.0571714526348787,0.8625568004979771,0.0316492663638677,0.7960818577625302,0.0490058153797421
antimalarial_main,0.701469882540026,0.0201967146863222,0.7938164056255435,0.0146285971576829,0.703366841401994,0.0207101547789001,0.6945322655875922,0.0478970399012365,0.7502645502645502,0.0326229201647404,0.6645468352785426,0.0595979184648198,0.1363228640069362,0.0251775255297715,0.6286979526109961,0.0236225781178746,0.1543579654200668,0.0078091678040636,0.7304515674385277,0.0287509684330637,0.7784621578099837,0.0258155808959206,0.7110380613943207,0.0379327890014577,0.7431842696811731,0.0361539088916261,0.8227834898800264,0.0288881043932872,0.7458137979310882,0.0365231140565569
antimicrobial,0.5890425381943153,0.0107123879864424,0.7942665956182239,0.005302019626481,0.7899824532613631,0.0049827619081243,0.6567781515644324,0.0078692188908513,0.8247460847721131,0.0035178620850202,0.8107649922069282,0.0032872392346803,0.4545316844301555,0.0199082156696214,0.7229040465406338,0.0105681326355959,0.7475499779840864,0.0074574251841512,0.642178534142622,0.0072446021591591,0.8189409487894925,0.003563075699649,0.807898344554966,0.0039312133574508,0.6017917148023575,0.008921546723451,0.8003147406975826,0.0043219746768431,0.7940231436549162,0.0036523493891752
antimicrobial_UniDL4BioPep,0.8562021994857621,0.0100888976677562,0.9278495860882544,0.0047981221156559,0.938468600444726,0.0046008931840928,0.8857161842053054,0.0091489702891358,0.9458328969567062,0.0044536228502854,0.948610950867969,0.0043875382109705,0.0,0.0,0.5,0.0,0.727462200413903,0.0001650802079082,0.8705230908011231,0.0139252347529629,0.9391785744916026,0.0069109258975103,0.9396860736553428,0.0069095006261203,0.8836818556659797,0.0117292698956465,0.9438902926623962,0.005794148146431,0.9487818141983186,0.0052869461601183
antioxidant,0.8244846109899108,0.0213704693874499,0.9117924528301888,0.0105052157789245,0.9101538300948936,0.0095768498278289,0.8351947789289523,0.0200289812855838,0.915566037735849,0.0104840145145721,0.911334023998148,0.0117163383458887,0.6508474452085438,0.0136471643212259,0.8221698113207546,0.0052947981888309,0.8094988711841292,0.0034018534145962,0.8150942252624148,0.0326393947192507,0.9070754716981132,0.0163809012775333,0.9058605793815854,0.0153210852845492,0.8412794412460505,0.021114673047885,0.9202830188679244,0.010484014514572,0.91874205394705,0.0103543689393695
