name,ot_M.ot_C.0.5.100,ot_M.masked_length_awarded_C.0.5.100,ot_M.dtw_C.0.5.100,masked_length_awarded_M.ot_C.0.5.100,masked_length_awarded_M.masked_length_awarded_C.0.5.100,masked_length_awarded_M.dtw_C.0.5.100,dtw_M.ot_C.0.5.100,dtw_M.masked_length_awarded_C.0.5.100,dtw_M.dtw_C.0.5.100
anticancer_alternative,0.16689942988110815,0.18034369031945935,0.19102813161436216,0.18033834965142279,0.19515005399422994,0.20588947835071034,0.22090771868008902,0.23339859125779513,0.24430603445676619
anticancer_main,0.1724270463681744,0.18240921780777802,0.1794852597976857,0.16498767362143113,0.17565680476215648,0.1726036736321742,0.19605917574205206,0.2055915379281562,0.2027436965135235
antidiabetic,0.2167179237636393,0.2173402620808296,0.22147962929169587,0.21480210877987083,0.21567143425651333,0.22004644794145528,0.22571400076243192,0.2262415292094779,0.23023722631143625
antifungal,0.24597799466538128,0.28972749610606224,0.2601190003913187,0.20930155588844512,0.2637563177497668,0.2227619964085626,0.2507146022887171,0.2880695966345067,0.2653501581624805
antimalarial_alternative,0.20607338646935805,0.23951490155001207,0.2587974400725552,0.1988304480065891,0.23197986914665727,0.2523149132727545,0.2554434562552487,0.28876093642905665,0.307872724234274
antimalarial_main,0.11906589285515819,0.11094357564073927,0.1204683728488949,0.0977987994055592,0.08862001979644389,0.09977159132270455,0.12230827824362481,0.11481533468101296,0.12341005984120208
antimicrobial,0.1611437388281543,0.1638817055129779,0.18191653920091305,0.19859001626586317,0.20178973239035633,0.2198417468885713,0.18137711765412615,0.1839397197490131,0.20200059568752501
antimicrobial_UniDL4BioPep,0.24096176666999627,0.31625439444092757,0.29551441782571924,0.2096357708990009,0.28505980837766726,0.26461582891226826,0.27630791470048854,0.35145731770693506,0.33064645856316227
antioxidant,0.12613976473049215,0.11325050223764903,0.12294507213565573,0.12746948866772304,0.11359126179354154,0.12469182471406938,0.14535986067127496,0.13306538856807273,0.14185277184633147
antioxidant_UniDL4BioPep,0.11180894186572532,0.09521662632644545,0.10066892379710199,0.10164049210078734,0.0837264384647429,0.08976022998976428,0.09636873809686777,0.08054714207825071,0.08562441616558501
antiparasitic,0.20706097019265401,0.2382515772593397,0.2530399651102713,0.15372771745377287,0.18473134765889287,0.20086082898488009,0.24022549909256807,0.27114011805089844,0.2855390657782847
