name,len_0,len_1,ot_M.ot_C.0.0,ot_M.ot_C.0.3,ot_M.ot_C.0.5,ot_M.ot_C.0.7,ot_M.ot_C.1.0,ot_M.masked_length_awarded_C.0.0,ot_M.masked_length_awarded_C.0.3,ot_M.masked_length_awarded_C.0.5,ot_M.masked_length_awarded_C.0.7,ot_M.masked_length_awarded_C.1.0,ot_M.dtw_C.0.0,ot_M.dtw_C.0.3,ot_M.dtw_C.0.5,ot_M.dtw_C.0.7,ot_M.dtw_C.1.0,masked_length_awarded_M.ot_C.0.0,masked_length_awarded_M.ot_C.0.3,masked_length_awarded_M.ot_C.0.5,masked_length_awarded_M.ot_C.0.7,masked_length_awarded_M.ot_C.1.0,masked_length_awarded_M.masked_length_awarded_C.0.0,masked_length_awarded_M.masked_length_awarded_C.0.3,masked_length_awarded_M.masked_length_awarded_C.0.5,masked_length_awarded_M.masked_length_awarded_C.0.7,masked_length_awarded_M.masked_length_awarded_C.1.0,masked_length_awarded_M.dtw_C.0.0,masked_length_awarded_M.dtw_C.0.3,masked_length_awarded_M.dtw_C.0.5,masked_length_awarded_M.dtw_C.0.7,masked_length_awarded_M.dtw_C.1.0,dtw_M.ot_C.0.0,dtw_M.ot_C.0.3,dtw_M.ot_C.0.5,dtw_M.ot_C.0.7,dtw_M.ot_C.1.0,dtw_M.masked_length_awarded_C.0.0,dtw_M.masked_length_awarded_C.0.3,dtw_M.masked_length_awarded_C.0.5,dtw_M.masked_length_awarded_C.0.7,dtw_M.masked_length_awarded_C.1.0,dtw_M.dtw_C.0.0,dtw_M.dtw_C.0.3,dtw_M.dtw_C.0.5,dtw_M.dtw_C.0.7,dtw_M.dtw_C.1.0
antioxidant,1060,1060,0.09947611647910595,0.0740059222308051,0.056453191267170535,0.03834327426150114,0.009203953350791825,0.09947611647910595,0.07187056644053001,0.05303323616701288,0.03380275044817175,0.0033347427517519783,0.09947611647910595,0.07262118754180238,0.053872666924500365,0.03454722204935664,0.0032585785617954464,0.08250338449791647,0.06954083026518097,0.05931305692120804,0.04504951412104874,0.009203953350791825,0.08250338449791647,0.06491494260511957,0.05291930233306748,0.03978510728371794,0.0033347427517519783,0.08250338449791647,0.06864981865279147,0.05883052858127,0.044917993678994066,0.0032585785617954464,0.11881743813951687,0.08736229663971724,0.06604360983562342,0.04421202909170191,0.009203953350791825,0.11881743813951687,0.08504860853347142,0.062357315893913336,0.03942652624673517,0.0033347427517519783,0.11881743813951687,0.08553488751301105,0.06292906043185638,0.03982555236905398,0.0032585785617954464
antioxidant_UniDL4BioPep,717,687,0.0862545771123313,0.06248825169244077,0.04612869067041955,0.02934102240757455,0.0023933470223931044,0.0862545771123313,0.061435136828476546,0.04473218532393973,0.027779560670234574,0.0010800578991411577,0.0862545771123313,0.06181946441915399,0.04517779340896877,0.028231426295938975,0.0012181842724256371,0.06442884609698177,0.054478460405565754,0.045724271708310955,0.03262270719387937,0.0023933470223931044,0.06442884609698177,0.048724934685723864,0.03809628631965203,0.027003104052594012,0.0010800578991411577,0.06442884609698177,0.05063822088493754,0.04118240187647799,0.030187010310419763,0.0012181842724256371,0.0700110866460849,0.0508274947182441,0.0377462895183885,0.024303845125378535,0.0023933470223931044,0.0700110866460849,0.04980814939703958,0.036245865336648295,0.022540804152974294,0.0010800578991411577,0.0700110866460849,0.04989610699240868,0.036355297991432924,0.022657467517426772,0.0012181842724256371
antiparasitic,916,290,0.2654782739705498,0.1958880666991493,0.1479460395181533,0.09889487370437851,0.022311891702803167,0.2654782739705498,0.2037652877705571,0.16015199323728033,0.1151393895199593,0.04434190494104981,0.2654782739705498,0.2086485646788286,0.16849260800754404,0.12688967856926583,0.06101841746466434,0.13321626152151358,0.11126457539749209,0.09521443575311027,0.07415109427067242,0.022311891702803167,0.13321626152151358,0.12007472812127512,0.10962847007216588,0.09152048273128241,0.04434190494104981,0.13321626152151358,0.12519130723287894,0.11869067983368056,0.10347293861346944,0.06101841746466434,0.30454575408628143,0.22153639444250964,0.16572399602441784,0.10934530273456988,0.022311891702803167,0.30454575408628143,0.228727844551997,0.1773611189047173,0.12518806831090268,0.04434190494104981,0.30454575408628143,0.2335847828916935,0.18555047548932213,0.13686652348921152,0.06101841746466434
antiviral,2944,2944,0.1116393391982312,0.07943290070066283,0.05751418671978342,0.035219686046781634,0.0009081404084628408,0.1116393391982312,0.07896433882495821,0.0569191779173,0.03467761540969512,0.00038132674914928045,0.1116393391982312,0.07957747642370648,0.05775950701265324,0.035721548969426656,0.0018173554984120671,0.07286333854573412,0.058480974317635874,0.04762105705771761,0.03371905121344557,0.0009081404084628408,0.07286333854573412,0.054486005920694545,0.04208530501961383,0.0294210316353259,0.00038132674914928045,0.07286333854573412,0.058784764783784534,0.048541432789159344,0.033676098958734794,0.0018173554984120671,0.10352979716641772,0.0731796631986907,0.05278308354118348,0.03235247919232087,0.0009081404084628408,0.10352979716641772,0.0728193571472939,0.05236024081533066,0.03181151621951282,0.00038132674914928045,0.10352979716641772,0.07319484534009757,0.05307876412334478,0.03278015349945038,0.0018173554984120671
atb_antitbp,246,246,0.1732066624491148,0.1258816267518003,0.0934144732667816,0.06031210296269548,0.008830049382548465,0.1732066624491148,0.12398402825969376,0.0904557047824725,0.056559102251242846,0.003990599367687548,0.1732066624491148,0.12759052615000388,0.09601995947215279,0.0637179385829874,0.013544407036651324,0.12104771599871637,0.09655490326188829,0.07881255971646094,0.05733979626718192,0.008830049382548465,0.12104771599871637,0.09065349235569412,0.07023364238653393,0.049152720098783284,0.003990599367687548,0.12104771599871637,0.099400033922678,0.0843551006700224,0.06341480985282952,0.013544407036651324,0.1488839678188518,0.10796479427438285,0.08045948977682196,0.05260730097739177,0.008830049382548465,0.1488839678188518,0.10604960438170682,0.07740776542664096,0.048571343490285926,0.003990599367687548,0.1488839678188518,0.1091833896093812,0.08252128365027056,0.05552171111849814,0.013544407036651324
atb_iantitb,246,246,0.14870299139925788,0.10752656800090465,0.07916765473837253,0.050203970928182594,0.004713624956344729,0.14870299139925788,0.10650353318662134,0.07775324563020916,0.048511340006023876,0.0029111860541089804,0.14870299139925788,0.10741039386807189,0.07882079935124721,0.04959840130611227,0.003810497491869926,0.10959130193229658,0.08712521171984054,0.07051555757774838,0.05039128506729576,0.004713624956344729,0.10959130193229658,0.08236462494296184,0.06404210524543703,0.045222860750829784,0.0029111860541089804,0.10959130193229658,0.08710870470483478,0.07147776688962477,0.05161402341705705,0.003810497491869926,0.12151782063307073,0.08759373223112389,0.06469313846916323,0.041341765104596966,0.004713624956344729,0.12151782063307073,0.08670795779548146,0.06334847086546679,0.03976337688521971,0.0029111860541089804,0.12151782063307073,0.08729761885093176,0.06399429820776842,0.04046087406734608,0.003810497491869926
avp_amppred,739,721,0.19434727682234937,0.14377255071124354,0.10950719628193888,0.0745365478640886,0.02015447718546265,0.19434727682234937,0.14827886989658953,0.11676503352518598,0.08466757086363237,0.03440579823491121,0.19434727682234937,0.1444143915428619,0.11045786275440027,0.07590812263361095,0.021848578166737794,0.24774981091562984,0.18484342419198443,0.14227935843950754,0.09856773748315772,0.02015447718546265,0.24774981091562984,0.189911015142143,0.15119649128762,0.11205645303903541,0.03440579823491121,0.24774981091562984,0.18590270980416992,0.1441900028241936,0.10080575324286405,0.021848578166737794,0.13043302394735184,0.09828562664794767,0.07658770821540488,0.054515951324286736,0.02015447718546265,0.13043302394735184,0.10256478174016004,0.08370099134714505,0.0645230299830389,0.03440579823491121,0.13043302394735184,0.09873818141440927,0.0772872488635757,0.05563739936068403,0.021848578166737794
avp_avppred,448,598,0.2074725975648355,0.14817557608432416,0.10813042911547793,0.06750519037676862,0.004173218506147605,0.2074725975648355,0.1492034888153694,0.10935005119640964,0.06863759512382984,0.003905504738937967,0.2074725975648355,0.1501223184041268,0.1116778058492725,0.07296464604824553,0.012477163171354022,0.1846840536994386,0.1354943557075876,0.1019740256192465,0.06685317427040025,0.004173218506147605,0.1846840536994386,0.13878576788379188,0.10701790077561475,0.07173527660139813,0.003905504738937967,0.1846840536994386,0.13615231272995681,0.10367804023695004,0.07069043846845814,0.012477163171354022,0.10743806503892966,0.07747961440552185,0.057208380025421536,0.03662190016087034,0.004173218506147605,0.10743806503892966,0.07800542904516929,0.05786825441962754,0.03711495657006548,0.003905504738937967,0.10743806503892966,0.07963165533216326,0.06097425412812151,0.042129319262705196,0.012477163171354022
bce_ibce,1408,1110,0.2014141841278913,0.14427518636557246,0.10595120372341855,0.06731527522163311,0.00715847965203958,0.2014141841278913,0.15203183783872665,0.11894229514318598,0.08554551880877241,0.03333986115588667,0.2014141841278913,0.16093159816914399,0.133661451771689,0.10606343200956692,0.062189262557797866,0.3010735455334397,0.2151680361688059,0.15759365948026396,0.09937500480617663,0.00715847965203958,0.3010735455334397,0.2227934745687647,0.1704708982525694,0.1177788212065694,0.03333986115588667,0.3010735455334397,0.23223143297228274,0.1860977359110271,0.13923265306114518,0.062189262557797866,0.18616734727624848,0.13353728888533883,0.09825557426131776,0.06264921375273062,0.00715847965203958,0.18616734727624848,0.1412658848187538,0.1111523535478594,0.08080062289125825,0.03333986115588667,0.18616734727624848,0.15003228592518872,0.1256930944289858,0.10103883296322644,0.062189262557797866
bitter,320,320,0.08745826600998302,0.0651139936862601,0.049642388281367175,0.03355413098312732,0.007029945595889469,0.08745826600998302,0.06489133799519624,0.049530234136219604,0.03372739266134612,0.007923243330068917,0.08745826600998302,0.06737400723178674,0.05346154582975447,0.03892121561367563,0.014751241857060586,0.0800245094384052,0.066982892273174,0.05651750477427706,0.042579104903091025,0.007029945595889469,0.0800245094384052,0.06347213667141792,0.052161800819995344,0.039798636198482194,0.007923243330068917,0.0800245094384052,0.06483063807524908,0.05450545436305898,0.04350109603520586,0.014751241857060586,0.06181002958156087,0.04654729951784675,0.036097439086322756,0.02509845331227439,0.007029945595889469,0.06181002958156087,0.046410468770546026,0.03598169107361388,0.025269045192976552,0.007923243330068917,0.06181002958156087,0.048311303920405675,0.0391738329101072,0.02983910709113829,0.014751241857060586
blood_brain_barrier,119,119,0.2330833884645652,0.16704899101528226,0.1218931913615493,0.0757759743477858,0.0038502345370199607,0.2330833884645652,0.16931141370614466,0.12522518818088652,0.08047896644592137,0.010125746229710186,0.2330833884645652,0.17229019501756987,0.12931119652163084,0.08504742402549115,0.014827472316216353,0.16511959983956936,0.12817341246831218,0.10192390358905569,0.07273992944940037,0.0038502345370199607,0.16511959983956936,0.13272437790965289,0.11041930291318744,0.0851838875366044,0.010125746229710186,0.16511959983956936,0.140210651607842,0.12168662733070515,0.0912183211290587,0.014827472316216353,0.2584748281801895,0.18335855019260033,0.13304061853156868,0.08236921423721824,0.0038502345370199607,0.2584748281801895,0.18544027068790997,0.1365354990613079,0.08693126384741667,0.010125746229710186,0.2584748281801895,0.18710504662712915,0.1390307888654023,0.09043376249406508,0.014827472316216353
cpp_cellppd,807,807,0.19170316580436836,0.13759513820179467,0.1007806434622708,0.06322661489717403,0.004633971582457444,0.19170316580436836,0.13854278898286873,0.10202182944336954,0.06473714270695825,0.006106530437060101,0.19170316580436836,0.14641942190995785,0.11510856105512379,0.08306571702395665,0.031925337088241953,0.1632426994660433,0.12345821159296039,0.09582558554425896,0.06527142907473536,0.004633971582457444,0.1632426994660433,0.12589243164946862,0.10025596836806935,0.07028590082665455,0.006106530437060101,0.1632426994660433,0.13209429788245353,0.11060260556248822,0.08557042085372109,0.031925337088241953,0.19356901961508552,0.138162549750818,0.10091985152844227,0.06323298168376837,0.004633971582457444,0.19356901961508552,0.1386788448818702,0.10170099903597814,0.06431996885147594,0.006106530437060101,0.19356901961508552,0.14637394794128236,0.11453827030420713,0.08227056885966778,0.031925337088241953
cpp_cellppdmod,730,732,0.2238080940759815,0.16015577027779668,0.11711581243999565,0.07341223377931047,0.004349893686470635,0.2238080940759815,0.16049990803887607,0.11739150397752886,0.07343654216093934,0.00386004440858365,0.2238080940759815,0.1622496057324667,0.12036530699592644,0.07773885920195803,0.009427902120212519,0.1972666465089096,0.14638065697569846,0.11147908019071309,0.0745428615705459,0.004349893686470635,0.1972666465089096,0.1485844492113219,0.11542577809010339,0.07842198635341556,0.00386004440858365,0.1972666465089096,0.14838758444646277,0.11517105591278794,0.08016451505960907,0.009427902120212519,0.18553597545743997,0.13291345795769613,0.09743898520882366,0.06138690415621306,0.004349893686470635,0.18553597545743997,0.1330584513949241,0.09749000432932488,0.061373685971819955,0.00386004440858365,0.18553597545743997,0.1346111851447862,0.1001163273305655,0.06498733426574761,0.009427902120212519
cpp_cppredfl,462,462,0.24827723446446995,0.17648011030920452,0.1279859248488735,0.07885412206378048,0.0025486747048327762,0.24827723446446995,0.1767215648479413,0.12819746653894504,0.07891449878515751,0.002474347712449037,0.24827723446446995,0.18023884733822665,0.13355958450138064,0.08637645766967161,0.012988630246947741,0.20048279668546135,0.14796699440487698,0.11202168761694252,0.07376717014795725,0.0025486747048327762,0.20048279668546135,0.14828760534003693,0.11314453698763399,0.07699098631458308,0.002474347712449037,0.20048279668546135,0.15352814999718678,0.12143435410856335,0.0855483190505422,0.012988630246947741,0.19776680680504488,0.140539273388837,0.10209121500564643,0.06311631320381739,0.0025486747048327762,0.19776680680504488,0.14061497413159713,0.1020338292626489,0.06307072689930322,0.002474347712449037,0.19776680680504488,0.14356376220354322,0.10705279477880542,0.07016892067808711,0.012988630246947741
cpp_kelmcpp,499,504,0.2434049661367547,0.17411758805440072,0.12708013960172437,0.07928513077261658,0.005067280371719279,0.2434049661367547,0.1767955263897324,0.13127117344576783,0.08488385889923036,0.011118092560832776,0.2434049661367547,0.1759052634276774,0.12937331525964757,0.08176602166011653,0.005749912385143551,0.29269688362434115,0.21118779067196372,0.1562537361133419,0.09990825840013239,0.005067280371719279,0.29269688362434115,0.21539551003526372,0.16353008896228569,0.11032990343060385,0.011118092560832776,0.29269688362434115,0.21449339650144839,0.16139157569566973,0.10508969548367988,0.005749912385143551,0.20016669572404797,0.1430462557964597,0.10462803402016191,0.0657466626012385,0.005067280371719279,0.20016669572404797,0.14547034924942667,0.1085467711165753,0.0709361759331516,0.011118092560832776,0.20016669572404797,0.14411344383162686,0.10611380577967468,0.06742602902160831,0.005749912385143551
cpp_mlcpp,1165,738,0.22374767946289265,0.1595003588886966,0.11615742562207201,0.07228395498846961,0.0037898836227980718,0.22374767946289265,0.16151597681970048,0.1190162757046565,0.07571058539104654,0.007376101967721454,0.22374767946289265,0.16671549494985569,0.12779470093288456,0.08803650879670306,0.024645206137178577,0.2101865247652694,0.15466523197153517,0.11694237119289555,0.07734736474668574,0.0037898836227980718,0.2101865247652694,0.1589422604929457,0.12415591700854361,0.08627000245209372,0.007376101967721454,0.2101865247652694,0.16330452679078727,0.13139647313099542,0.09682986230857447,0.024645206137178577,0.23634987560811266,0.1680654941882223,0.12220489326048904,0.07589409123918839,0.0037898836227980718,0.23634987560811266,0.16986828697994077,0.12487478086421046,0.07915062770653217,0.007376101967721454,0.23634987560811266,0.1748247955976752,0.13325928756870237,0.09106490606796097,0.024645206137178577
cpp_mlcppue,187,187,0.1421421839972929,0.10324637696716751,0.07668572980469661,0.04957695268941081,0.009226016187452175,0.1421421839972929,0.10504344966208586,0.07924625684509684,0.05292655238399283,0.011177910525272892,0.1421421839972929,0.10536190709159213,0.07989386934106235,0.05394446410741735,0.01261143392327626,0.1420409240259311,0.10699907177077006,0.08260635852412578,0.05587439279365326,0.009226016187452175,0.1420409240259311,0.11088920301948124,0.08912477962043149,0.06289988871887234,0.011177910525272892,0.1420409240259311,0.10920268841875193,0.08629726688233343,0.06087031581044297,0.01261143392327626,0.11335359705068512,0.08274320517039843,0.06219392898586079,0.04123165132798663,0.009226016187452175,0.11335359705068512,0.08417655289659945,0.06435562363585827,0.04399032447721794,0.011177910525272892,0.11335359705068512,0.08406222416509455,0.06435337048348724,0.044265687854997016,0.01261143392327626
cpp_sanders,34,111,0.26287224991587715,0.19098526447609118,0.14222476629432268,0.09231065069409485,0.01463872274649187,0.26287224991587715,0.19324508914129643,0.14508346992790283,0.09540641051543226,0.01714531651267767,0.26287224991587715,0.19634787292107386,0.15022807236999067,0.10325421969488113,0.0280787998538333,0.2384534482322412,0.1765410510396756,0.13417197286310117,0.08888521170378662,0.01463872274649187,0.2384534482322412,0.18396972292915406,0.14457233842033165,0.09853063752668047,0.01714531651267767,0.2384534482322412,0.18106414438193943,0.14213085313098284,0.10141641975912476,0.0280787998538333,0.2123872925938286,0.15417258651052912,0.11528890381530517,0.0757275388287344,0.01463872274649187,0.2123872925938286,0.1555781855339019,0.11717972201110192,0.07837437597806288,0.01714531651267767,0.2123872925938286,0.15849335012254828,0.12216907263782321,0.08534603349494188,0.0280787998538333
