name,n_samples,n_features,score,n_classes,classes,complexities.f1,complexities.f1v,complexities.f2,complexities.f3,complexities.f4,complexities.l1,complexities.l2,complexities.l3,complexities.n1,complexities.n2,complexities.n3,complexities.n4,complexities.t1,complexities.lsc,complexities.density,complexities.clsCoef,complexities.hubs,complexities.t2,complexities.t3,complexities.t4,complexities.c1,complexities.c2,prior_probability.0,prior_probability.1
cpp_sanders,145,903,0.672,2,2,0.908,0.017,0.0,0.897,0.0,0.0,0.0,0.0,0.141,0.428,0.248,0.159,0.828,0.969,0.987,0.734,0.923,6.228,0.579,0.093,0.214,0.44,0.23448275862068965,0.7655172413793103
DPPIV_inhibitory_activity,1329,1890,0.412,2,2,0.894,0.072,0.0,0.971,0.622,0.001,0.047,0.023,0.234,0.457,0.46,0.478,0.783,0.961,0.66,0.109,0.507,1.422,0.209,0.147,0.0,0.0,0.5003762227238525,0.4996237772761475
HemoPI1,1104,2058,0.388,2,2,0.811,0.016,0.0,0.961,0.0,0.0,0.0,0.0,0.078,0.423,0.129,0.036,0.729,0.993,0.909,0.308,0.808,1.864,0.302,0.162,0.0,0.0,0.5,0.5
HemoPI2,1014,2058,0.433,2,2,0.926,0.05,0.0,0.974,0.512,0.001,0.027,0.009,0.143,0.406,0.25,0.185,0.719,0.996,0.882,0.251,0.788,2.03,0.244,0.12,0.006,0.016,0.4556213017751479,0.5443786982248521
HemoPI3,1622,2058,0.413,2,2,0.936,0.085,0.0,0.994,0.656,0.001,0.053,0.031,0.146,0.406,0.253,0.186,0.732,0.997,0.913,0.259,0.785,1.269,0.205,0.161,0.006,0.016,0.45499383477188654,0.5450061652281134
Hemo_HAPPENN,3738,735,0.41,2,2,0.934,0.187,0.0,0.997,0.942,0.004,0.142,0.093,0.121,0.38,0.196,0.115,0.657,0.998,0.998,0.474,0.981,0.197,0.087,0.442,0.022,0.059,0.5872124130551097,0.4127875869448903
hem_hemopi,1104,2058,0.399,2,2,0.817,0.028,0.0,0.961,0.0,0.0,0.004,0.0,0.12,0.433,0.226,0.045,0.773,0.995,0.909,0.312,0.815,1.864,0.302,0.162,0.002,0.006,0.5271739130434783,0.47282608695652173
hiv_apv,585,2100,0.457,2,2,0.47,0.041,0.0,0.961,0.374,0.001,0.019,0.007,0.135,0.438,0.256,0.125,0.805,0.982,0.778,0.199,0.593,3.59,0.14,0.039,0.029,0.077,0.4,0.6
hiv_bevirimat,155,441,0.427,2,2,0.547,0.036,0.0,0.897,0.0,0.001,0.013,0.006,0.106,0.391,0.187,0.09,0.645,0.88,0.903,0.509,0.586,2.845,0.194,0.068,0.148,0.331,0.7225806451612903,0.27741935483870966
hiv_idv,635,2100,0.427,2,2,0.442,0.032,0.0,0.951,0.332,0.001,0.013,0.003,0.093,0.436,0.181,0.09,0.762,0.986,0.783,0.186,0.635,3.307,0.131,0.04,0.0,0.001,0.48976377952755906,0.510236220472441
hiv_lpv,416,2100,0.51,2,2,0.362,0.021,0.0,0.971,0.188,0.0,0.0,0.0,0.108,0.443,0.192,0.07,0.87,0.984,0.811,0.208,0.685,5.048,0.192,0.038,0.007,0.018,0.5480769230769231,0.4519230769230769
hiv_nfv,652,2100,0.444,2,2,0.526,0.039,0.0,0.919,0.365,0.001,0.017,0.003,0.114,0.442,0.221,0.13,0.781,0.991,0.797,0.199,0.679,3.221,0.129,0.04,0.041,0.106,0.6180981595092024,0.38190184049079756
hiv_protease,947,168,0.471,2,2,0.881,0.088,0.0,0.937,0.753,0.001,0.032,0.017,0.077,0.463,0.144,0.062,0.98,0.994,1.0,0.994,0.994,0.177,0.113,0.637,0.372,0.639,0.8426610348468849,0.1573389651531151
hiv_rtv,606,2100,0.42,2,2,0.479,0.029,0.0,0.809,0.111,0.0,0.002,0.0,0.092,0.433,0.168,0.114,0.739,0.983,0.798,0.192,0.655,3.465,0.135,0.039,0.001,0.003,0.5198019801980198,0.4801980198019802
hiv_sqv,638,2100,0.435,2,2,0.533,0.026,0.0,0.97,0.346,0.0,0.009,0.008,0.094,0.431,0.163,0.083,0.787,0.985,0.772,0.189,0.589,3.292,0.13,0.04,0.031,0.082,0.39655172413793105,0.603448275862069
hiv_v3,1351,798,0.352,2,2,0.561,0.021,0.0,0.974,0.433,0.001,0.012,0.004,0.031,0.352,0.049,0.036,0.423,0.976,0.898,0.36,0.764,0.591,0.075,0.127,0.395,0.663,0.8519615099925981,0.14803849000740193
isp_il10pred,1242,882,0.489,2,2,0.955,0.119,0.0,0.991,0.819,0.003,0.087,0.043,0.221,0.466,0.385,0.227,0.931,0.998,1.0,0.964,0.996,0.71,0.213,0.299,0.099,0.236,0.6827697262479872,0.3172302737520129
nep_neuropipred,1750,2100,0.405,2,2,0.845,0.041,0.0,0.99,0.365,0.0,0.008,0.006,0.165,0.454,0.297,0.146,0.826,0.994,0.886,0.349,0.769,1.2,0.306,0.255,0.0,0.0,0.5,0.5
neuropeptide,4850,2100,0.373,2,2,0.784,0.135,0.0,0.997,0.773,0.003,0.108,0.069,0.146,0.447,0.256,0.186,0.811,0.999,0.767,0.22,0.646,0.433,0.13,0.3,0.0,0.0,0.5,0.5
pip_pipel,3228,525,0.502,2,2,0.948,0.231,0.0,0.998,0.973,0.007,0.154,0.143,0.229,0.486,0.416,0.155,0.996,0.999,1.0,0.999,0.999,0.163,0.084,0.516,0.176,0.379,0.7419454770755886,0.2580545229244114
quorum_sensing,432,1344,0.474,2,2,0.835,0.0,0.0,0.954,0.0,0.0,0.0,0.0,0.168,0.417,0.278,0.37,0.762,0.955,0.873,0.467,0.656,3.111,0.447,0.144,0.0,0.0,0.49537037037037035,0.5046296296296297
tce_zhao,203,210,0.422,2,2,0.506,0.014,0.0,0.537,0.0,0.0,0.0,0.0,0.113,0.427,0.192,0.064,0.906,0.853,0.999,0.938,0.981,1.034,0.409,0.395,0.326,0.588,0.8226600985221675,0.17733990147783252
toxic,3864,1050,0.406,2,2,0.471,0.069,0.0,0.999,0.993,0.0,0.016,0.004,0.078,0.43,0.127,0.055,0.814,0.997,1.0,0.841,0.996,0.272,0.164,0.604,0.0,0.0,0.5,0.5
toxic_PLPTP,7513,1050,0.429,2,2,0.672,0.091,0.0,0.998,0.992,0.002,0.059,0.03,0.067,0.431,0.1,0.081,0.751,0.997,1.0,0.847,0.997,0.14,0.089,0.633,0.138,0.313,0.7154265939039,0.2845734060961001
tumor_t_cell_antigens,985,1050,0.485,2,2,0.934,0.206,0.0,0.984,0.752,0.007,0.173,0.122,0.222,0.476,0.424,0.182,0.948,0.998,0.982,0.781,0.936,1.066,0.188,0.176,0.03,0.078,0.39898477157360407,0.601015228426396
umami,442,819,0.388,2,2,0.807,0.062,0.0,0.928,0.224,0.002,0.041,0.027,0.102,0.417,0.192,0.113,0.769,0.989,0.675,0.137,0.521,1.853,0.215,0.116,0.099,0.237,0.6832579185520362,0.3167420814479638
