name,Logistic_Regression_MCC_mean,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_F1_mean,SVM_MCC_mean,SVM_AUC-ROC_mean,SVM_F1_mean,KNN_MCC_mean,KNN_AUC-ROC_mean,KNN_F1_mean,Random_Forest_MCC_mean,Random_Forest_AUC-ROC_mean,Random_Forest_F1_mean,XGBoost_MCC_mean,XGBoost_AUC-ROC_mean,XGBoost_F1_mean
bitter,0.4787959913032489,0.7390625,0.7329121900826445,0.5262697197759101,0.7625,0.757231229758073,0.5635708195393587,0.78125,0.776950759062094,0.5510525384428646,0.775,0.7714341429307352,0.5417084670648276,0.7703125,0.7669518056762392
blood_brain_barrier,0.2643212819090458,0.6304347826086957,0.6166705338549063,0.4400943504796341,0.7143115942028986,0.7389927573850199,0.3227451251739429,0.6586956521739131,0.6764207557463278,0.4040437640255823,0.697463768115942,0.7136207356584714,0.3556373795962207,0.6766304347826086,0.6904423798979494
cpp_cellppd,0.7294085213850025,0.8643278889655701,0.8649909114566169,0.7915068057887431,0.8953147764741967,0.893574899346496,0.7683607210714154,0.8835020320527567,0.8809876512271042,0.7511787790478337,0.875477340694732,0.8742468848478779,0.7713941401891458,0.8853922245226593,0.8839482541622173
cpp_cellppdmod,0.7696391869357456,0.8844003354766563,0.8857285590894394,0.7861735487947834,0.8926195135588483,0.8936109399544347,0.7600191176743012,0.879610474326717,0.8821671321746904,0.7706566494356014,0.8851039045755288,0.8841337806325289,0.8023102519180751,0.9008200540490168,0.9010418506579396
cpp_cppredfl,0.7803274168255084,0.8896680691912108,0.8897875787309377,0.8085693496166954,0.9037050023375408,0.9055714866268396,0.7531033557846392,0.8658017765310893,0.8799717114568599,0.809083084773729,0.9037283777466106,0.9052641367621848,0.7987710217256978,0.8983169705469847,0.9000390259060728
cpp_kelmcpp,0.6058334578108164,0.8026100610061006,0.8020494634391202,0.6500277891039337,0.8244611461146114,0.8272056721472183,0.6218636846066175,0.8087680768076808,0.7989560212071892,0.63381601404633,0.8164609460946094,0.8202974134370118,0.6300600157972684,0.8145110511051105,0.8182672797156249
cpp_mlcpp,0.6176424697944914,0.8087517468418757,0.765263891278081,0.7112601309775487,0.8480949066785977,0.8155678137398675,0.6981870154149,0.8313590567882414,0.7953595308144058,0.6815730742214783,0.8307140766061674,0.7931945292172207,0.7214189192351439,0.8534411108138883,0.8222858393239834
cpp_mlcppue,0.2919970154128314,0.6446657183499289,0.6433693661763836,0.2899832548489849,0.644452347083926,0.6294079206407973,0.2576599308606181,0.6285917496443811,0.6264627363344017,0.2950646632479944,0.6471550497866287,0.6349122807017544,0.2846761943129174,0.6421052631578947,0.6352720156555772
cpp_sanders,0.234534345514744,0.6021456804065499,0.8602504024063581,0.0,0.5,0.8671191553544496,0.0342300296108953,0.5122811970638057,0.8346051464063887,0.0368585194954404,0.5058441558441558,0.8499938356613548,0.2050846041646386,0.587408243929983,0.8686086956521738
hem_hemopi,0.8098857323050794,0.9051290471980128,0.9004955920825044,0.8575955215993136,0.9291788766788768,0.9257757058987014,0.8301519572019913,0.9155441876131531,0.9122227396518582,0.8318759591174386,0.9159676434676436,0.9118209732533504,0.8322756490748094,0.9162680518715,0.9121773197894492
hiv_apv,0.6943804162498197,0.8458642511870483,0.8784164374580975,0.7322179515960625,0.8695516112400584,0.8871500184948695,0.6903469252568933,0.8466875629354295,0.8730401761696746,0.7160389281477783,0.8603919725568956,0.8800547764337155,0.718097120073249,0.8595082986354761,0.8851121294571618
hiv_bevirimat,0.5380820989757906,0.7792874396135264,0.6687719298245615,0.4846518954011135,0.7140480895915678,0.5852258852258851,0.5906024407141572,0.7635979358805446,0.6713725490196077,0.5181449548353111,0.7308959156785244,0.6166666666666666,0.5212302810372602,0.754594861660079,0.6473529411764706
