name,esm_c_mean,esm_c_max,prott5_mean,prott5_max,protbert_mean,protbert_max,ankh_em_mean,ankh_em_max
antioxidant_UniDL4BioPep,0.7075636088423265,0.7279929978346658,0.7353645628325912,0.7605669607865391,0.6783037535888553,0.7075472936408278,0.7099082729695958,0.7375655951107817
antiparasitic,0.6319012888362889,0.651557548051079,0.6323626840373481,0.6551539877512365,0.5808218737979091,0.616983188953075,0.6193868577887494,0.6554604874364045
antiviral,0.8205366041809157,0.8421249570422196,0.8252105107306587,0.8509944524176138,0.8052501537002199,0.8209374339943247,0.8126851323049312,0.8516869678619985
atb_antitbp,0.8159546453018216,0.8256116341685102,0.8205072628989136,0.8289760997106397,0.8134560185629326,0.8358641796799692,0.8048902388626502,0.8245393568598258
atb_iantitb,0.7575122749954553,0.7727280480093807,0.7498871814544806,0.774567326303402,0.729078179613839,0.7486373584726894,0.7364612263722152,0.7488132620530925
avp_amppred,0.8465300860095748,0.8581796481302852,0.8523244755459858,0.864437361192231,0.8240270687456359,0.8441224968434469,0.845198332542382,0.8777033254731228
avp_avppred,0.8420698386359694,0.851327243250075,0.8434358800352901,0.8551644822077366,0.8162709575188041,0.8304201663378408,0.8370926909313582,0.858293695888268
bce_ibce,0.4717045303054695,0.508018967954166,0.47408446130826,0.4950783632091045,0.4370195297569941,0.5021078847741876,0.4637319984274152,0.5074545760222842
bitter,0.8033137546384357,0.8343332374150906,0.8300034464872157,0.8454439392503271,0.7610960255019572,0.776950759062094,0.8092897595927007,0.8357519962667833
blood_brain_barrier,0.7602999926360373,0.78514372310117,0.7024641486731595,0.7580169160702667,0.6872294325085351,0.7389927573850199,0.7255057264062189,0.7338259319538091
cpp_cellppd,0.8835663970925207,0.9003230643781308,0.905408039683649,0.913659156863195,0.8795497202080625,0.893574899346496,0.8858480632996539,0.903268840264544
cpp_cellppdmod,0.9086415985141536,0.9166992065817656,0.9058505564036936,0.9121061626370413,0.8893364525018066,0.9010418506579396,0.906290681320043,0.9122037923002492
cpp_cppredfl,0.8939571805771177,0.906986459071524,0.908618432572014,0.9189635576520032,0.8961267878965788,0.9055714866268396,0.9044652284408184,0.9119435131900816
cpp_kelmcpp,0.8490211992686246,0.8584807083779472,0.8466765574002061,0.8607970619474937,0.8133551699892327,0.8272056721472183,0.8455023511764971,0.8577593782271183
cpp_mlcpp,0.8101565802995973,0.8343127351390919,0.8288457510400937,0.8515453801290379,0.7983343208747117,0.8222858393239834,0.8181006286186004,0.8372266478897211
cpp_mlcppue,0.6476542145858942,0.6732762105798294,0.6823702106682477,0.7148161807750849,0.6338848639017829,0.6433693661763836,0.6609233462704402,0.6854477548595195
cpp_sanders,0.8644582046550798,0.8846557700003078,0.8533355774378822,0.8655805471124619,0.856115447096145,0.8686086956521738,0.8657138332910905,0.8744125650260104
hem_hemopi,0.9320167172911252,0.9428070482390912,0.9356338278862532,0.9443365687015012,0.9124984661351728,0.9257757058987014,0.9406815633050596,0.9493274064907556
hiv_apv,0.876449906170288,0.8852152995834588,0.8638142451845523,0.8776525198938991,0.8807547076027038,0.8871500184948695,0.8733371637534599,0.8869655016943303
hiv_bevirimat,0.6967066194899012,0.712548036758563,0.6013875051676909,0.6383900928792569,0.6378779943826384,0.6713725490196077,0.6234788397017498,0.6561764705882352
hiv_idv,0.8921380716171952,0.9157351518064154,0.8998633620990845,0.912024719634205,0.911234944754019,0.9218511244763152,0.9153886308208844,0.9239441318034298
hiv_lpv,0.8674050342893931,0.9055991918692148,0.8841482593208477,0.8917192593663182,0.8989442995858642,0.9113883028264052,0.9055324875292244,0.9140685904997996
hiv_nfv,0.8644521117034548,0.889876308430394,0.9027108355244018,0.9245160708213126,0.8844422723492542,0.9034805893630052,0.9044711710090644,0.9180933271595412
hiv_protease,0.3462549189819444,0.6420202020202019,0.4686576248902517,0.6031565650078974,0.1842760682831293,0.394737539097972,0.3996701513976602,0.6084772326816007
hiv_rtv,0.9028448598108368,0.9367183709780028,0.953584420038964,0.9599918377667602,0.9316720493902616,0.9418460782646486,0.9310031378743542,0.950494881270974
hiv_sqv,0.9075240854487812,0.9371479299626684,0.9147578907405004,0.9271123173961282,0.8981154695241506,0.9156556267209024,0.9182499362441312,0.9288220847239156
hiv_v3,0.8701509323683132,0.8837373527373528,0.8578709085410287,0.8887799145450817,0.8670606221914806,0.8785717454019885,0.8712982459944507,0.8856028022610302
isp_il10pred,0.505597832255015,0.5739569083598486,0.4979640527606744,0.5960267927930591,0.4423327944323212,0.5649967225455589,0.4335913881683774,0.5446685164383255
nep_neuropipred,0.867042660308007,0.8869983041839145,0.8667160684850513,0.8845051128815943,0.8330430426971098,0.8565840585182294,0.862972765902064,0.8797162963957431
neuropeptide,0.8748033733142038,0.889727097550683,0.8721052924789896,0.8910227804513738,0.8287450904058533,0.8498327511650461,0.8561571856965067,0.8933996880691973
pip_pipel,0.3076861160739447,0.4155837407813106,0.2933127896625135,0.4345811868618862,0.2146295417462683,0.3718748516854233,0.2519722756316663,0.3978118920031234
quorum_sensing,0.9106694487963974,0.922607119432056,0.914326893675978,0.9321141676352834,0.8855200590801152,0.9053846353125786,0.9099659274085002,0.9190628797170683
tce_zhao,0.2555915195915196,0.4542124542124542,0.2834693084693085,0.3880952380952381,0.2537563416975181,0.4346907993966817,0.3259744307979602,0.4657142857142857
toxic,0.9206704748171336,0.9299705115215988,0.9180479457370372,0.9337310286118076,0.8777346708177864,0.8942108472191457,0.9137422532501482,0.9303808249191604
toxic_PLPTP,0.8619226202383515,0.8801681793338055,0.8610741336789818,0.8828268920452343,0.7891027996088945,0.8221133568057397,0.8531337514990417,0.8821606245920102
tumor_t_cell_antigens,0.7489226027985249,0.7793279594137511,0.7781680704769488,0.8149212728690131,0.7362527001988803,0.7685198212093017,0.7476196640099311,0.803274060267744
umami,0.7276554341275132,0.7422021116138764,0.7571411620561467,0.7834719923498473,0.6380418537532757,0.6624123954000586,0.6976327409553085,0.7494246884510576
